Date,Confirmed,Deaths,Recovered,Active
2020-04-22,21370,681,4370,16319
2020-04-23,23077,721,5012,17344
2020-04-24,24530,780,5498,18252
2020-04-25,26283,825,5939,19519
2020-04-26,27890,881,6523,20486
2020-04-27,29451,939,7137,21375
2020-04-28,31324,1008,7747,22569
2020-04-29,33062,1079,8437,23546
2020-04-30,34863,1154,9068,24641
2020-05-01,37257,1223,10007,26027
2020-05-02,39699,1323,10819,27557
2020-05-03,42505,1391,11775,29339
2020-05-04,46437,1566,12847,32024
2020-05-05,49400,1693,14142,33565
2020-05-06,52987,1785,15331,35871
2020-05-07,56351,1889,16776,37686
2020-05-08,59695,1985,17887,39823
2020-05-09,62808,2101,19301,41406
2020-05-10,67161,2212,20969,43980
2020-05-11,70768,2294,22549,45925
2020-05-12,74292,2415,24420,47457
2020-05-13,78055,2551,26400,49104
2020-05-14,81997,2649,27969,51379
2020-05-15,85784,2753,30258,52773
2020-05-16,90648,2871,34224,53553
2020-05-17,95698,3025,36795,55878
2020-05-18,100328,3156,39233,57939
2020-05-19,106475,3302,42309,60864
2020-05-20,112028,3434,45422,63172
2020-05-21,118226,3584,48553,66089
2020-05-22,124794,3726,51824,69244
2020-05-23,131423,3868,54385,73170
2020-05-24,138536,4024,57692,76820
2020-05-25,144950,4172,60706,80072
2020-05-26,150793,4344,64277,82172
2020-05-27,158086,4534,67749,85803
2020-05-28,165386,4711,70920,89755
2020-05-29,173491,4980,82627,85884
2020-05-30,181827,5185,86936,89706
2020-05-31,190609,5408,91852,93349
2020-06-01,198370,5608,95754,97008
2020-06-02,207191,5829,100285,101077
2020-06-03,216824,6088,104071,106665
2020-06-04,226713,6363,108450,111900
2020-06-05,236184,6649,113233,116302
2020-06-06,246622,6946,118695,120981
2020-06-07,257486,7207,123848,126431
2020-06-08,265928,7473,129095,129360
2020-06-09,276146,7750,134670,133726
2020-06-10,286605,8102,135206,143297
2020-06-11,297535,8498,147195,141842
2020-06-12,308993,8884,154330,145779
2020-06-13,320922,9195,162379,149348
2020-06-14,332424,9520,169798,153106
2020-06-15,343091,9900,180013,153178
2020-06-16,354065,11903,186935,155227
2020-06-17,366946,12237,194325,160384
2020-06-18,380532,12573,204711,163248
2020-06-19,395048,12948,213831,168269
2020-06-20,410451,13254,227728,169469
2020-06-21,425282,13699,237196,174387
2020-06-22,440215,14011,248190,178014
2020-06-23,456183,14476,258685,183022
2020-06-24,473105,14894,271697,186514
2020-06-25,490401,15301,285637,189463
2020-06-26,508953,15685,295881,197387
2020-06-27,528859,16095,309713,203051
2020-06-28,548318,16475,321723,210120
2020-06-29,566840,16893,334822,215125
2020-06-30,585481,17400,347912,220169
2020-07-01,604641,17834,359860,226947
2020-07-02,625544,18213,379892,227439
2020-07-03,648315,18655,394227,235433
2020-07-04,673165,19268,409083,244814
2020-07-05,697413,19693,424433,253287
2020-07-06,719664,20159,439934,259571
2020-07-07,742417,20642,456831,264944
2020-07-08,767296,21129,476378,269789
2020-07-09,793802,21604,495513,276685
2020-07-10,820916,22123,515386,283407
2020-07-11,849522,22673,534618,292231
2020-07-12,878254,23174,553471,301609
2020-07-13,906752,23727,571460,311565
2020-07-14,936181,24309,592032,319840
2020-07-15,968857,24914,612768,331175
2020-07-16,1003832,25602,635757,342473
2020-07-17,1039084,26273,653751,359060
2020-07-18,1077781,26816,677423,373542
2020-07-19,1118206,27497,700087,390622
2020-07-20,1155338,28082,724578,402678
2020-07-21,1193078,28732,753050,411296
2020-07-22,1238798,29861,782607,426330
2020-07-23,1288108,30601,817209,440298
2020-07-24,1337024,31358,849432,456234
2020-07-25,1385635,32060,885573,468002
2020-07-26,1435616,32771,917568,485277
2020-07-27,1480073,33408,951166,495499
2020-07-28,1531669,34193,988029,509447
2020-07-29,1581963,34955,1019735,527273
2020-07-30,1634746,35718,1055348,543680
2020-07-31,1695988,36511,1094374,565103
2020-08-01,1750723,37364,1145629,567730
2020-08-02,1803695,38135,1186203,579357
2020-08-03,1855745,38938,1230509,586298
2020-08-04,1908254,39795,1282215,586244
2020-08-05,1964536,40699,1328336,595501
2020-08-06,2027074,41585,1378105,607384
2020-08-07,2088611,42518,1427005,619088
2020-08-08,2153010,43379,1480884,628747
2020-08-09,2215074,44386,1535743,634945
2020-08-10,2268675,45257,1583489,639929
2020-08-11,2329638,46091,1639599,643948
2020-08-12,2396637,47033,1695982,653622
2020-08-13,2461190,48040,1751555,661595
2020-08-14,2525922,49036,1808936,667950
2020-08-15,2589952,49980,1862258,677714
2020-08-16,2647663,50921,1919842,676900
2020-08-17,2702681,51797,1977671,673213
2020-08-18,2767253,52888,2037816,676549
2020-08-19,2836925,53866,2096664,686395
2020-08-20,2905825,54849,2158946,692030
2020-08-21,2975701,55794,2222577,697330
2020-08-22,3044940,56706,2280566,707668
2020-08-23,3106348,57542,2338035,710771
2020-08-24,3167323,58390,2404585,704348
2020-08-25,3224547,59357,2458339,706851
2020-08-26,3310234,60472,2523771,725991
2020-08-27,3387500,61529,2583948,742023
2020-08-28,3463972,62550,2648998,752424
2020-08-29,3542733,63498,2713933,765302
2020-08-30,3621245,64469,2774801,781975
2020-08-31,3691166,65288,2839882,785996
2020-09-01,3769523,66333,2901908,801282
2020-09-02,3853406,67376,2970492,815538
2020-09-03,3936747,68472,3037151,831124
2020-09-04,4023179,69561,3107223,846395
2020-09-05,4113811,70626,3180865,862320
2020-09-06,4204613,71642,3250429,882542
2020-09-07,4280422,72775,3323950,883697
2020-09-08,4370128,73890,3398844,897394
2020-09-09,4465863,75062,3471783,919018
2020-09-10,4562414,76271,3542663,943480
2020-09-11,4659984,77472,3624196,958316
2020-09-12,4754356,78586,3702595,973175
2020-09-13,4846427,79722,3780107,986598
2020-09-14,4930236,80776,3859399,990061
2020-09-15,5020359,82066,3942360,995933
2020-09-16,5118253,83198,4025079,1009976
2020-09-17,5214677,84372,4112551,1017754
2020-09-18,5308014,85619,4208431,1013964
2020-09-19,5400619,86752,4303043,1010824
2020-09-20,5487580,87882,4396399,1003299
2020-09-21,5562663,88935,4497867,975861
2020-09-22,5646010,90020,4587613,968377
2020-09-23,5732518,91149,4674987,966382
2020-09-24,5818570,92290,4756164,970116
2020-09-25,5903932,93379,4849584,960969
2020-09-26,5992532,94503,4941627,956402
2020-09-27,6074702,95542,5016520,962640
2020-09-28,6145291,96318,5101397,947576
2020-09-29,6225763,97497,5187825,940441
2020-09-30,6312584,98678,5273201,940705
2020-10-01,6394068,99773,5352078,942217
2020-10-02,6473544,100842,5427706,944996
2020-10-03,6549373,101782,5509966,937625
2020-10-04,6623815,102685,5586703,934427
2020-10-05,6685082,103569,5662490,919023
2020-10-06,6757131,104555,5744693,907883
2020-10-07,6835655,105526,5827704,902425
2020-10-08,6906151,106490,5906069,893592
2020-10-09,6979423,107416,5988822,883185
2020-10-10,7053806,108334,6077976,867496
2020-10-11,7120538,109150,6149535,861853
2020-10-12,7175880,109856,6227295,838729
2020-10-13,7239389,110586,6301927,826876
2020-10-14,7307097,111266,6383441,812390
2020-10-15,7370468,112161,6453779,804528
2020-10-16,7432680,112998,6524595,795087
2020-10-17,7494551,114031,6597209,783311
2020-10-18,7550273,114610,6663608,772055
2020-10-19,7597063,115197,6733328,748538
2020-10-20,7651107,115914,6795103,740090
2020-10-21,7706946,116616,6874518,715812
2020-10-22,7761312,117306,6948497,695509
2020-10-23,7814682,117956,7016046,680680
2020-10-24,7864811,118534,7078123,668154
2020-10-25,7909959,119014,7137228,653717
2020-10-26,7946429,119502,7201070,625857
2020-10-27,7990322,120010,7259509,610803
2020-10-28,8040203,120527,7315989,603687
2020-10-29,8088851,121090,7373375,594386
2020-10-30,8137119,121641,7432829,582649
2020-10-31,8184082,122111,7491513,570458
2020-11-01,8229313,122607,7544798,561908
2020-11-02,8267623,123097,7603121,541405
2020-11-03,8313876,123611,7656478,533787
2020-11-04,8364086,124315,7711809,527962
2020-11-05,8411724,124985,7765966,520773
2020-11-06,8462080,125562,7819886,516632
2020-11-07,8507754,126121,7868968,512665
2020-11-08,8553657,126611,7917373,509673
2020-11-09,8591730,127059,7959406,505265
2020-11-10,8636011,127571,8013783,494657
2020-11-11,8683916,128121,8066501,489294
2020-11-12,8728795,128668,8115580,484547
2020-11-13,8773479,129188,8163572,480719
2020-11-14,8814579,129635,8205728,479216
2020-11-15,8845127,130070,8249579,465478
2020-11-16,8874290,130519,8290370,453401
2020-11-17,8912907,130993,8335109,446805
2020-11-18,8958483,131578,8383602,443303
2020-11-19,9004365,132162,8428409,443794
2020-11-20,9050597,132726,8478124,439747
2020-11-21,9095806,133227,8521617,440962
2020-11-22,9139865,133738,8562641,443486
2020-11-23,9177840,134218,8604955,438667
2020-11-24,9222216,134699,8642771,444746
2020-11-25,9266705,135223,8679138,452344
2020-11-26,9309787,135715,8718517,455555
2020-11-27,9351109,136200,8759969,454940
2020-11-28,9392919,136696,8802267,453956
2020-11-29,9431691,137139,8847600,446952
2020-11-30,9462809,137621,8889585,435603
2020-12-01,9499413,138122,8932647,428644
2020-12-02,9534964,138648,8973373,422943
2020-12-03,9571559,139188,9016289,416082
2020-12-04,9608211,139700,9058822,409689
2020-12-05,9644222,140182,9100792,403248
2020-12-06,9677203,140573,9139901,396729
2020-12-07,9703770,140958,9178946,383866
2020-12-08,9735850,141360,9215581,378909
2020-12-09,9767371,141772,9253306,372293
2020-12-10,9796744,142185,9290809,363750
2020-12-11,9826775,142628,9324328,359819
2020-12-12,9857029,143019,9357464,356546
2020-12-13,9884100,143355,9388159,352586
2020-12-14,9906165,143709,9422636,339820
2020-12-15,9932547,144096,9456449,332002
2020-12-16,9956557,144451,9489740,322366
2020-12-17,9979447,144789,9520827,313831
2020-12-18,10004599,145136,9550712,308751
2020-12-19,10031223,145477,9580402,305344
2020-12-20,10055560,145810,9606111,303639
2020-12-21,10075116,146111,9636487,292518
2020-12-22,10099066,146444,9663382,289240
2020-12-23,10123778,146756,9693173,283849
2020-12-24,10146845,147092,9717834,281919
2020-12-25,10169118,147343,9740108,281667
2020-12-26,10187850,147622,9761538,278690
2020-12-27,10207871,147901,9782669,277301
2020-12-28,10224303,148153,9807569,268581
2020-12-29,10244852,148439,9834141,262272
2020-12-30,10266674,148738,9860280,257656
2020-12-31,10266674,148738,9860280,257656
2021-01-01,10286709,148994,9883461,254254
2021-01-02,10323965,149435,9927310,247220
2021-01-03,10340469,149649,9946867,243953
2021-01-04,10356844,149850,9975958,231036
2021-01-05,10374932,150114,9997272,227546
2021-01-06,10395278,150336,10016859,228083
2021-01-07,10413417,150570,10037398,225449
2021-01-08,10413417,150570,10037398,225449
2021-01-09,10450284,150999,10075950,223335
2021-01-10,10466595,151160,10092909,222526
2021-01-11,10479179,151327,10111294,216558
2021-01-12,10495147,151529,10129111,214507
2021-01-13,10512093,151727,10146763,213603
2021-01-14,10527683,151918,10162738,213027
2021-01-15,10542841,152093,10179715,211033
2021-01-16,10557985,152274,10196885,208826
2021-01-17,10571773,152419,10211342,208012
2021-01-18,10581823,152556,10228753,200514
2021-01-19,10595639,152718,10245741,197180
2021-01-20,10610883,152869,10265706,192308
2021-01-21,10625428,153032,10283702,188694
2021-01-22,10639684,153184,10300838,185662
2021-01-23,10654533,153339,10316786,184408
2021-01-24,10667736,153470,10330084,184182
2021-01-25,10676838,153587,10345985,177266
2021-01-26,10689527,153724,10359305,176498
2021-01-27,10701193,153847,10373606,173740
2021-01-28,10720048,154010,10394352,171686
2021-01-29,10733130,154147,10409146,169837
2021-01-30,10746174,154274,10423109,168791
2021-01-31,10757610,154392,10434983,168235
2021-02-01,10766245,154486,10448406,163353
2021-02-02,10777284,154596,10462631,160057
2021-02-03,10790183,154703,10480455,155025
2021-02-04,10802591,154823,10496308,151460
2021-02-05,10814304,154918,10510796,148590
2021-02-06,10826363,154996,10522601,148766
2021-02-07,10838194,155080,10534505,148609
2021-02-08,10847304,155158,10548521,143625
2021-02-09,10858371,155252,10561608,141511
2021-02-10,10871294,155360,10573372,142562
2021-02-11,10880603,155447,10589230,135926
2021-02-12,10892746,155550,10600625,136571
2021-02-13,10904940,155642,10611731,137567
2021-02-14,10916589,155732,10621220,139637
2021-02-15,10925710,155813,10633025,136872
2021-02-16,10937320,155913,10644858,136549
2021-02-17,10950201,156014,10656845,137342
2021-02-18,10963394,156111,10667741,139542
2021-02-19,10977387,156212,10678048,143127
2021-02-20,10991651,156302,10689715,145634
2021-02-21,11005850,156385,10699410,150055
2021-02-22,11016434,156463,10712665,147306
2021-02-23,11030176,156567,10726702,146907
2021-02-24,11046914,156705,10738501,151708
2021-02-25,11063491,156825,10750680,155986
2021-02-26,11079979,156938,10763451,159590
2021-02-27,11096731,157051,10775169,164511
2021-02-28,11112241,157157,10786452,168632
2021-03-01,11124527,157248,10798921,168358
2021-03-02,11139516,157346,10812044,170126
2021-03-03,11156923,157435,10826075,173413
2021-03-04,11173761,157548,10839894,176319
2021-03-05,11192045,157656,10854126,180263
2021-03-06,11210799,157756,10868520,184523
2021-03-07,11229398,157853,10882798,188747
2021-03-08,11244786,157930,10899394,187462
2021-03-09,11262707,158063,10920046,184598
2021-03-10,11285561,158189,10938146,189226
2021-03-11,11308846,158306,10953303,197237
2021-03-12,11333728,158446,10973260,202022
2021-03-13,11359048,158607,10989897,210544
2021-03-14,11385339,158725,11007352,219262
2021-03-15,11409831,158856,11027543,223432
2021-03-16,11438734,159044,11045284,234406
2021-03-17,11474605,159216,11063025,252364
2021-03-18,11514331,159370,11083679,271282
2021-03-19,11555284,159558,11107332,288394
2021-03-20,11599130,159755,11130288,309087
2021-03-21,11646081,159967,11151468,334646
2021-03-22,11686796,160166,11181253,345377
2021-03-23,11734058,160441,11205160,368457
2021-03-24,11787534,160692,11231650,395192
2021-03-25,11846652,160949,11264637,421066
2021-03-26,11908910,161240,11295023,452647
2021-03-27,11971624,161552,11323762,486310
2021-03-28,12039644,161843,11355993,521808
2021-03-29,12095855,162114,11393021,540720
2021-03-30,12149335,162468,11434301,552566
2021-03-31,12221665,162927,11474683,584055
2021-04-01,12303131,163396,11525039,614696
2021-04-02,12392260,164110,11569241,658909
2021-04-03,12485509,164623,11629289,691597
2021-04-04,12589067,165101,11682136,741830
2021-04-05,12686049,165547,11732279,788223
2021-04-06,12801785,166177,11792135,843473
2021-04-07,12928574,166862,11851393,910319
2021-04-08,13060542,167642,11913292,979608
2021-04-09,13205926,168436,11990859,1046631
2021-04-10,13358805,169275,12081443,1108087
2021-04-11,13527717,170179,12156529,1201009
2021-04-12,13689453,171058,12253697,1264698
2021-04-13,13873825,172085,12336036,1365704
2021-04-14,14074564,173123,12429564,1471877
2021-04-15,14291917,174308,12547866,1569743
2021-04-16,14526609,175649,12671220,1679740
2021-04-17,14788003,177150,12809638,1801215
2021-04-18,15061805,178769,12953817,1929219
2021-04-19,15320972,180530,13108565,2031877
2021-04-20,15616130,182553,13276039,2157538
2021-04-21,15930774,184657,13454880,2291237
2021-04-22,16263695,186920,13648159,2428616
2021-04-23,16610481,189544,13867997,2552940
2021-04-24,16960172,192311,14085110,2682751
2021-04-25,17313163,195123,14304382,2813658
2021-04-26,17636186,197894,14556089,2882203
2021-04-27,17997113,201187,14817240,2978686
2021-04-28,18376421,204832,15086740,3084849
2021-04-29,18762976,208330,15384418,3170228
2021-04-30,19164969,211853,15684406,3268710
2021-05-01,19557457,215542,15992271,3349644
2021-05-02,19925517,218959,16292725,3413833
2021-05-03,20282833,222408,16613292,3447133
2021-05-04,20664979,226188,16951521,3487270
2021-05-05,21077410,230168,17280844,3566398
2021-05-06,21491598,234083,17612351,3645164
2021-05-07,21892676,238270,17930960,3723446
2021-05-08,22296081,242347,18317364,3736370
2021-05-09,22662575,246116,18671222,3745237
2021-05-10,22992517,249992,19027304,3715221
2021-05-11,23340938,254197,19382642,3704099
2021-05-12,23703665,258317,19734823,3710525
2021-05-13,24046809,262317,20079599,3704893
